Problem name: hamming4x5x5.txt 	 Optimal solution = 19
100 100 550
1  2
1  3
1  4
1  5
1  6
1  11
1  16
1  21
1  26
1  51
1  76
2  3
2  4
2  5
2  7
2  12
2  17
2  22
2  27
2  52
2  77
3  4
3  5
3  8
3  13
3  18
3  23
3  28
3  53
3  78
4  5
4  9
4  14
4  19
4  24
4  29
4  54
4  79
5  10
5  15
5  20
5  25
5  30
5  55
5  80
6  7
6  8
6  9
6  10
6  11
6  16
6  21
6  31
6  56
6  81
7  8
7  9
7  10
7  12
7  17
7  22
7  32
7  57
7  82
8  9
8  10
8  13
8  18
8  23
8  33
8  58
8  83
9  10
9  14
9  19
9  24
9  34
9  59
9  84
10  15
10  20
10  25
10  35
10  60
10  85
11  12
11  13
11  14
11  15
11  16
11  21
11  36
11  61
11  86
12  13
12  14
12  15
12  17
12  22
12  37
12  62
12  87
13  14
13  15
13  18
13  23
13  38
13  63
13  88
14  15
14  19
14  24
14  39
14  64
14  89
15  20
15  25
15  40
15  65
15  90
16  17
16  18
16  19
16  20
16  21
16  41
16  66
16  91
17  18
17  19
17  20
17  22
17  42
17  67
17  92
18  19
18  20
18  23
18  43
18  68
18  93
19  20
19  24
19  44
19  69
19  94
20  25
20  45
20  70
20  95
21  22
21  23
21  24
21  25
21  46
21  71
21  96
22  23
22  24
22  25
22  47
22  72
22  97
23  24
23  25
23  48
23  73
23  98
24  25
24  49
24  74
24  99
25  50
25  75
25  100
26  27
26  28
26  29
26  30
26  31
26  36
26  41
26  46
26  51
26  76
27  28
27  29
27  30
27  32
27  37
27  42
27  47
27  52
27  77
28  29
28  30
28  33
28  38
28  43
28  48
28  53
28  78
29  30
29  34
29  39
29  44
29  49
29  54
29  79
30  35
30  40
30  45
30  50
30  55
30  80
31  32
31  33
31  34
31  35
31  36
31  41
31  46
31  56
31  81
32  33
32  34
32  35
32  37
32  42
32  47
32  57
32  82
33  34
33  35
33  38
33  43
33  48
33  58
33  83
34  35
34  39
34  44
34  49
34  59
34  84
35  40
35  45
35  50
35  60
35  85
36  37
36  38
36  39
36  40
36  41
36  46
36  61
36  86
37  38
37  39
37  40
37  42
37  47
37  62
37  87
38  39
38  40
38  43
38  48
38  63
38  88
39  40
39  44
39  49
39  64
39  89
40  45
40  50
40  65
40  90
41  42
41  43
41  44
41  45
41  46
41  66
41  91
42  43
42  44
42  45
42  47
42  67
42  92
43  44
43  45
43  48
43  68
43  93
44  45
44  49
44  69
44  94
45  50
45  70
45  95
46  47
46  48
46  49
46  50
46  71
46  96
47  48
47  49
47  50
47  72
47  97
48  49
48  50
48  73
48  98
49  50
49  74
49  99
50  75
50  100
51  52
51  53
51  54
51  55
51  56
51  61
51  66
51  71
51  76
52  53
52  54
52  55
52  57
52  62
52  67
52  72
52  77
53  54
53  55
53  58
53  63
53  68
53  73
53  78
54  55
54  59
54  64
54  69
54  74
54  79
55  60
55  65
55  70
55  75
55  80
56  57
56  58
56  59
56  60
56  61
56  66
56  71
56  81
57  58
57  59
57  60
57  62
57  67
57  72
57  82
58  59
58  60
58  63
58  68
58  73
58  83
59  60
59  64
59  69
59  74
59  84
60  65
60  70
60  75
60  85
61  62
61  63
61  64
61  65
61  66
61  71
61  86
62  63
62  64
62  65
62  67
62  72
62  87
63  64
63  65
63  68
63  73
63  88
64  65
64  69
64  74
64  89
65  70
65  75
65  90
66  67
66  68
66  69
66  70
66  71
66  91
67  68
67  69
67  70
67  72
67  92
68  69
68  70
68  73
68  93
69  70
69  74
69  94
70  75
70  95
71  72
71  73
71  74
71  75
71  96
72  73
72  74
72  75
72  97
73  74
73  75
73  98
74  75
74  99
75  100
76  77
76  78
76  79
76  80
76  81
76  86
76  91
76  96
77  78
77  79
77  80
77  82
77  87
77  92
77  97
78  79
78  80
78  83
78  88
78  93
78  98
79  80
79  84
79  89
79  94
79  99
80  85
80  90
80  95
80  100
81  82
81  83
81  84
81  85
81  86
81  91
81  96
82  83
82  84
82  85
82  87
82  92
82  97
83  84
83  85
83  88
83  93
83  98
84  85
84  89
84  94
84  99
85  90
85  95
85  100
86  87
86  88
86  89
86  90
86  91
86  96
87  88
87  89
87  90
87  92
87  97
88  89
88  90
88  93
88  98
89  90
89  94
89  99
90  95
90  100
91  92
91  93
91  94
91  95
91  96
92  93
92  94
92  95
92  97
93  94
93  95
93  98
94  95
94  99
95  100
96  97
96  98
96  99
96  100
97  98
97  99
97  100
98  99
98  100
99  100
